591367040.000000,  4556892347.142858
2054757617.142857,  1854875787.142857
633209755.714286,  32882140.000000
52682421.428571,  461851994.285714
1560775711.428571,  412304407.142857
26352491533017239552.000000,  26352491532044623872.000000
26352491531028267008.000000,  26352491532164067328.000000
1236537685.714286,  1184492235.714286
26352491530659164160.000000,  26352491528951222272.000000
26352491533235601408.000000,  26352491532944068608.000000
2903776368.571429,  1283212490.000000
26352491532827189248.000000,  26352491533218951168.000000
431045048.571429,  26352491532988018688.000000
26352491530111590400.000000,  26352491530058719232.000000
5543985141.428572,  18974075.714286
1179845388.571429,  438964015.714286
26352491531186151424.000000,  26352491530084642816.000000
26352491530656641024.000000,  26352491530405044224.000000
26352491531854643200.000000,  26352491531307089920.000000
128003792.857143,  3347119512.857143
26352491530155429888.000000,  842985972.857143
26352491532963946496.000000,  114696197.142857
26352491529217159168.000000,  26352491533091655680.000000
572633490.000000,  26352491533127073792.000000
731582718.571429,  706199130.000000
26352491529079824384.000000,  26352491532948574208.000000
550140384.285714,  26352491532838354944.000000
904613167.142857,  169834337.142857
1616084468.571429,  320189214.285714
162308697.142857,  209583352.857143
4671220184.285714,  4538121811.428572
713828034.285714,  299505434.285714
26352491530320113664.000000,  26352491530573234176.000000
1454157275.714286,  165858272.857143
1210360837.142857,  2830250325.714286
